name,category,rate,price,time,price_numeric,price_text
From Paris: Versailles Palace Skip-the-Line Half-Day Trip,Guided tour,4.5,"246,759 per person",4 hours,246759,per person
Paris: Access to the Eiffel Tower's 2nd Floor,Guided tour,4.4,"103,819 per person",2 hours,103819,per person
Paris: Hop-on Hop-off Bus Tour and Seine River Cruise,Bundle,4.3,"79,896 per person",1 day,79896,per person
Paris: Louvre Treasure Hunt for Families and Kids,Private tour,5.0,"692,129 per group up to 4",2 hours,692129,per group up to 4
Paris: Night River Cruise On The Seine With Waffle Tasting,Water activity,4.2,"26,963 per person",1 hour,26963,per person
Paris: French Wine Tasting Class with Sommelier,Workshop or class,4.8,"103,819 per person",2 hours,103819,per person
Paris: Iconic Neighborhoods Guided Walking Tour,Guided tour,4.8,"28,588 per person",1.5 - 2 hours,28588,per person
Complete Mont-Saint-Michel: Exclusive Bay Walk & Abbey Tour,Day trip,4.7,"434,838 per person",13 hours,434838,per person
Paris: Private Transfer between Paris & CDG Airport,Transfer,4.8,"119,618 per group up to 4",35 minutes,119618,per group up to 4
Market Visit and Cooking Class with a Parisian Chef,Workshop or class,4.8,"255,787 per person",4.5 hours,255787,per person
Paris: Louvre Museum Entry Ticket and Guided Tour,Guided tour,5.0,"150,087 per person",2 - 2.5 hours,150087,per person
Paris: Eiffel Tower Access & Seine River Cruise,Bundle,4.5,"117,361 per person",3 hours,117361,per person
"Paris: Eiffel Tower Hosted Tour, Seine Cruise and City Tour",Bundle,4.0,"133,912 per person",3 - 4 hours,133912,per person
Paris: Eiffel Tower Tour and Seine River Cruise at Dusk,Bundle,4.7,"78,572 per person",2.5 hours,78572,per person
Château de Versailles: The Musical Fountains Show,Entry ticket,4.3,"15,799 per person",1 day,15799,per person
Paris by Vintage Motorbike Sidecar,Private tour,5.0,"203,847 per group up to 2",40 minutes,203847,per group up to 2
Paris: Opera Garnier and Seine River Cruise Tickets,Bundle,4.5,"47,998 per person",3 hours,47998,per person
2-Hour French Pastry Cooking Class in Paris,Workshop or class,5.0,"173,032 per person",2.5 hours,173032,per person
Paris: 1-Hour Seine River Wine Cruise with 3 Tastings,Water activity,4.5,"103,819 per person",1 hour,103819,per person
Paris: Versailles Palace & Trianon Castles E-Bike Tour,Day trip,4.9,"210,648 per person",9 hours,210648,per person
Versailles Palace Private Family Tour Designed for Kids,Private tour,4.4,"360,359 per person",2 hours,360359,per person
Paris: Food Tour in Le Marais with Tastings,Guided tour,5.0,"155,994 per person",3 hours,155994,per person
Paris: Seine River Cruise & Brunch with Panoramic View,Water activity,4.5,"84,259 per person",1.5 hours,84259,per person
Louvre Museum: Skip-the-Line Guided Tour,Guided tour,4.7,"157,986 per person",2 hours,157986,per person
"Paris: Eiffel Tower Visit with Summit, Louvre, and Cruise",Bundle,4.1,"195,451 per person",5 hours,195451,per person
Paris: Perfume Workshop,Workshop or class,4.7,"194,097 per person",2 hours,194097,per person
Paris: Louvre Tour with Skip-the-Ticket-Line,Guided tour,4.8,"62,021 per person",3 hours,62021,per person
"Paris: Eiffel Tower, Hop-On Hop-Off Bus, Seine River Cruise",Bundle,4.3,"180,405 per person",4 - 5 hours,180405,per person
Paris: Romantic Photoshoot for Couples,Private tour,4.8,"180,555 per group up to 7",45 - 75 minutes,180555,per group up to 7
Paris: Seine River Morning Guided Sightseeing Cruise,Water activity,4.5,"19,560 per person",1 hour,19560,per person
